CUSTOMER_ID,GENDER,DOB,EDUC_LEVEL,MARITAL_STATUS,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,YEARS_AT_CURRENT_ADDRESS,POSTAL_CODE,REGION,YEARS_WITH_CURRENT_EMPLOYER,RETIRED,SOCIAL_MEDIA,TV,PREFERRED_CONTACT,CUSTOMER_CATEGORY,MONTHS_WITH_SERVICE,TOLL_FREE_SERVICE,EQUIPMENT_RENTAL,CALLING_CARD_SERVICE,WIRELESS_SERVICE,LONGDISTANCE_LAST_MONTH,TOLLFREE_LAST_MONTH,EQUIPMENT_LAST_MONTH,CALLINGCARD_LAST_MONTH,WIRELESS_LAST_MONTH,LONGDISTANCE_OVER_TENURE,TOLLFREE_OVER_TENURE,EQUIPMENT_OVER_TENURE,CALLING_CARD_OVER_TENURE,WIRELESS_OVER_TENURE,MULTIPLE_LINES,VOICEMAIL,PAGING_SERVICE,INTERNET,CALLER_ID,CALL_WAITING,CALL_FORWARDING,THREE_WAY_CALLING,ELECTRONIC_BILLING,CHURN,RECEIVED_LETTER_OF_THANKS
10001,"Female",1982-10-05,1,"Unmarried",1,25,3,137,1,6,"No","","Yes","e-mail","Plus service",2,"Yes","Yes","Yes","Yes",1.900000,15.750000,28.700000,5.000000,24.150000,3.600000,23.050000,29.050000,5.000000,20.950000,"No","No","Yes","No","Yes","Yes","Yes","Yes","No","",""
10002,"Male",1974-11-17,4,"Married",2,64,9,217,2,5,"No","","Yes","e-mail","Basic service",13,"No","No","Yes","No",3.700000,0.000000,0.000000,7.500000,0.000000,37.450000,0.000000,0.000000,110.000000,0.000000,"No","No","No","No","No","No","Yes","No","No","",""
10003,"Female",1966-05-16,1,"Married",2,116,24,341,3,29,"No","","Yes","e-mail","Plus service",68,"Yes","No","Yes","No",18.150000,18.000000,0.000000,30.250000,0.000000,1300.600000,1247.200000,0.000000,2150.000000,0.000000,"No","No","No","No","Yes","Yes","No","Yes","No","",""
10004,"Male",1984-02-14,2,"Married",5,27,4,256,2,1,"No","Yes","Yes","e-mail","Basic service",30,"No","Yes","No","No",6.300000,0.000000,22.500000,0.000000,0.000000,150.900000,0.000000,690.750000,0.000000,0.000000,"No","No","No","Yes","No","No","No","No","No","",""
10005,"Female",1996-02-19,2,"Married",5,19,2,331,3,4,"No","Yes","Yes","e-mail","E-service",45,"No","No","Yes","No",10.900000,0.000000,0.000000,8.750000,0.000000,504.500000,0.000000,0.000000,415.000000,0.000000,"Yes","No","No","Yes","No","Yes","No","No","Yes","",""
10006,"Female",1972-08-10,1,"Unmarried",2,25,3,274,2,8,"No","","Yes","e-mail","Basic service",9,"No","No","No","No",4.400000,0.000000,0.000000,0.000000,0.000000,36.800000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10007,"Male",1961-04-04,2,"Unmarried",1,162,38,307,3,30,"No","","Yes","e-mail","Plus service",60,"Yes","Yes","Yes","No",16.150000,29.750000,31.300000,30.000000,0.000000,946.900000,1767.600000,1788.950000,1795.000000,0.000000,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","",""
10008,"Male",1994-05-13,1,"Unmarried",1,-1,-1,207,2,3,"No","","Yes","e-mail","Basic service",1,"No","No","No","No",1.050000,0.000000,0.000000,0.000000,0.000000,1.050000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10009,"Male",1975-10-19,1,"Married",5,36,18,325,3,5,"No","","Yes","e-mail","Plus service",14,"Yes","No","Yes","No",12.500000,19.750000,0.000000,18.000000,0.000000,153.750000,273.750000,0.000000,215.000000,0.000000,"No","No","No","No","Yes","Yes","Yes","Yes","No","",""
10010,"Male",1961-05-20,2,"Married",2,186,1,155,1,17,"No","","Yes","e-mail","Plus service",44,"Yes","No","Yes","Yes",9.800000,33.500000,0.000000,36.000000,41.650000,428.250000,1379.550000,0.000000,1535.000000,1826.700000,"Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","",""
10011,"Male",1990-08-01,2,"Married",5,23,4,227,2,8,"No","","Yes","e-mail","Basic service",27,"No","No","No","No",6.200000,0.000000,0.000000,0.000000,0.000000,180.150000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","Yes","No","No","No","No","",""
10012,"Male",1977-12-18,4,"Married",2,36,0,303,3,8,"No","Yes","Yes","e-mail","Total service",47,"No","Yes","Yes","Yes",7.750000,0.000000,37.450000,18.500000,38.800000,361.000000,0.000000,1717.750000,845.000000,1730.400000,"Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","",""
10013,"Female",1984-09-29,2,"Married",4,33,9,331,3,8,"No","","Yes","e-mail","Basic service",9,"No","Yes","No","No",2.950000,0.000000,22.950000,0.000000,0.000000,18.900000,0.000000,208.550000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10014,"Female",1985-10-06,2,"Unmarried",1,33,12,233,2,3,"No","","Yes","e-mail","Basic service",33,"No","No","No","No",9.450000,0.000000,0.000000,0.000000,0.000000,288.800000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10015,"Male",1992-04-05,2,"Married",5,26,3,141,1,2,"No","","Yes","e-mail","Basic service",7,"Yes","No","No","No",4.850000,15.500000,0.000000,0.000000,0.000000,33.700000,136.550000,0.000000,0.000000,0.000000,"No","No","No","No","No","Yes","No","No","No","",""
10016,"Female",1968-10-21,2,"Married",4,80,1,216,2,24,"No","","Yes","e-mail","Total service",56,"Yes","No","Yes","Yes",28.800000,55.500000,0.000000,21.250000,61.100000,1558.100000,3119.450000,0.000000,1065.000000,3268.050000,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","",""
10017,"Female",1967-03-27,4,"Married",2,438,11,276,2,23,"No","Yes","Yes","e-mail","Total service",69,"No","Yes","Yes","No",29.000000,0.000000,47.050000,24.750000,0.000000,1815.400000,0.000000,3064.150000,1655.000000,0.000000,"Yes","No","Yes","Yes","Yes","No","No","Yes","No","",""
10018,"Female",1967-09-24,3,"Married",6,40,22,365,3,10,"No","","Yes","e-mail","Plus service",28,"Yes","No","No","No",8.950000,21.250000,0.000000,0.000000,0.000000,253.550000,586.950000,0.000000,0.000000,0.000000,"No","No","No","No","Yes","Yes","Yes","Yes","No","",""
10019,"Male",1951-02-03,1,"Married",2,51,44,121,1,34,"Yes","","Yes","e-mail","Plus service",72,"Yes","No","Yes","No",57.050000,51.500000,0.000000,19.250000,0.000000,4168.250000,3657.900000,0.000000,1345.000000,0.000000,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","",""
10020,"Male",1991-10-18,3,"Unmarried",4,37,5,121,1,5,"No","","Yes","e-mail","Basic service",16,"No","No","No","No",6.000000,0.000000,0.000000,0.000000,0.000000,80.700000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10021,"Female",1979-09-16,4,"Unmarried",1,44,6,340,3,3,"No","Yes","Yes","e-mail","E-service",16,"No","Yes","No","No",6.600000,0.000000,23.300000,0.000000,0.000000,96.300000,0.000000,350.150000,0.000000,0.000000,"Yes","No","No","Yes","No","No","No","No","Yes","",""
10022,"Female",1950-11-13,1,"Unmarried",1,244,28,172,1,47,"No","","Yes","e-mail","Plus service",67,"Yes","No","Yes","No",30.250000,30.250000,0.000000,30.750000,0.000000,2186.200000,2036.150000,0.000000,2105.000000,0.000000,"No","Yes","No","No","Yes","Yes","Yes","Yes","No","",""
10023,"Male",1970-04-05,2,"",2,24,29,354,3,3,"No","","Yes","e-mail","Total service",20,"Yes","No","Yes","No",11.850000,22.500000,0.000000,35.000000,0.000000,230.700000,452.750000,0.000000,675.000000,0.000000,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","",""
10024,"Male",1971-09-27,4,"Married",2,212,17,131,1,17,"No","","Yes","e-mail","Plus service",42,"Yes","No","Yes","No",7.450000,26.750000,0.000000,24.750000,0.000000,320.900000,1163.550000,0.000000,1035.000000,0.000000,"No","No","No","No","Yes","Yes","Yes","No","No","",""
10025,"Male",1967-07-27,5,"Married",3,80,3,314,3,11,"No","Yes","Yes","e-mail","E-service",27,"No","Yes","No","No",7.100000,0.000000,39.400000,0.000000,0.000000,176.200000,0.000000,1086.650000,0.000000,0.000000,"Yes","No","Yes","Yes","No","No","No","No","Yes","",""
10026,"Female",1998-06-14,2,"Married",4,17,1,334,3,0,"No","","Yes","e-mail","Basic service",3,"No","No","No","No",3.750000,0.000000,0.000000,0.000000,0.000000,12.300000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","Yes","",""
10027,"Male",1965-11-29,1,"Married",2,34,21,144,1,8,"No","","Yes","e-mail","Plus service",55,"No","No","No","No",5.700000,0.000000,0.000000,0.000000,0.000000,304.400000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","Yes","Yes","Yes","No","",""
10028,"Female",1982-10-16,,"Married",3,107,5,371,3,19,"No","","Yes","e-mail","E-service",43,"Yes","No","Yes","No",11.550000,12.750000,0.000000,21.500000,0.000000,491.550000,583.750000,0.000000,910.000000,0.000000,"Yes","No","No","No","No","No","No","No","No","",""
10029,"Female",1993-04-11,1,"Married",2,21,5,216,2,1,"No","","Yes","e-mail","Plus service",47,"Yes","No","Yes","No",8.650000,30.500000,0.000000,9.000000,0.000000,426.600000,1465.450000,0.000000,405.000000,0.000000,"No","No","No","No","No","Yes","Yes","Yes","No","",""
10030,"Male",1998-06-16,3,"Unmarried",5,17,1,145,1,2,"No","Yes","Yes","e-mail","Total service",13,"No","Yes","Yes","No",3.050000,0.000000,31.300000,14.000000,0.000000,40.300000,0.000000,390.600000,155.000000,0.000000,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","",""
10031,"Female",1986-08-25,4,"Married",3,49,0,130,1,3,"No","Yes","Yes","e-mail","E-service",29,"No","Yes","No","No",6.700000,0.000000,33.000000,0.000000,0.000000,187.000000,0.000000,918.250000,0.000000,0.000000,"Yes","No","Yes","Yes","No","No","No","No","Yes","",""
10032,"Male",1957-06-17,2,"Unmarried",1,41,23,107,1,11,"No","","Yes","e-mail","Basic service",35,"No","No","Yes","No",9.600000,0.000000,0.000000,9.500000,0.000000,353.550000,0.000000,0.000000,295.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10033,"Female",1979-11-17,3,"Unmarried",1,105,8,335,3,13,"No","","Yes","e-mail","Total service",26,"Yes","No","Yes","Yes",6.600000,39.750000,0.000000,37.250000,38.250000,159.700000,1022.450000,0.000000,1005.000000,885.100000,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","",""
10034,"Female",1968-11-27,4,"Married",3,102,30,341,3,9,"No","Yes","Yes","e-mail","E-service",61,"No","No","Yes","No",12.600000,0.000000,0.000000,12.500000,0.000000,760.300000,0.000000,0.000000,745.000000,0.000000,"Yes","No","No","Yes","No","No","No","No","Yes","",""
10035,"Female",1984-06-26,3,"Unmarried",1,20,11,132,1,0,"No","No","No","e-mail","Basic service",13,"No","No","No","No",4.800000,0.000000,0.000000,0.000000,0.000000,71.050000,0.000000,0.000000,0.000000,0.000000,"No","No","No","Yes","No","No","No","No","No","",""
10036,"Female",1989-06-01,2,"Married",5,40,6,143,1,8,"No","","Yes","e-mail","Plus service",40,"No","No","No","No",13.000000,0.000000,0.000000,0.000000,0.000000,502.950000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","Yes","Yes","Yes","No","",""
10037,"Male",1989-10-19,2,"Married",3,18,9,303,3,2,"No","Yes","Yes","e-mail","Basic service",19,"No","No","No","No",5.400000,0.000000,0.000000,0.000000,0.000000,108.500000,0.000000,0.000000,0.000000,0.000000,"No","No","No","Yes","No","No","Yes","No","Yes","",""
10038,"Male",1987-07-05,4,"Married",5,60,1,252,2,6,"No","Yes","Yes","e-mail","E-service",29,"No","Yes","No","No",9.600000,0.000000,26.750000,0.000000,0.000000,243.900000,0.000000,730.800000,0.000000,0.000000,"Yes","No","No","Yes","No","No","No","No","Yes","",""
10039,"Female",1954-06-13,1,"Married",2,98,18,227,2,31,"No","","Yes","e-mail","Total service",70,"Yes","No","Yes","Yes",26.150000,84.000000,0.000000,11.250000,45.450000,1805.100000,5850.250000,0.000000,720.000000,3243.250000,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","",""
10040,"Male",1975-10-04,5,"Unmarried",2,-1,4,206,2,7,"No","","Yes","e-mail","Plus service",6,"No","No","Yes","Yes",4.250000,0.000000,0.000000,16.250000,26.750000,30.000000,0.000000,0.000000,85.000000,146.550000,"Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","",""
10041,"Female",1993-10-22,2,"Married",3,38,6,315,3,1,"No","","Yes","e-mail","Plus service",23,"Yes","Yes","Yes","No",13.900000,23.250000,28.500000,3.750000,0.000000,255.000000,574.850000,621.250000,65.000000,0.000000,"Yes","No","Yes","No","No","Yes","Yes","No","No","",""
10042,"Male",1974-04-07,2,"Married",3,99,2,116,1,21,"No","","Yes","e-mail","Plus service",42,"Yes","No","Yes","No",22.050000,34.750000,0.000000,9.750000,0.000000,841.550000,1501.550000,0.000000,395.000000,0.000000,"Yes","No","No","No","No","Yes","No","Yes","No","",""
10043,"Female",1984-02-19,,"Married",3,22,2,153,1,0,"No","Yes","Yes","e-mail","Total service",20,"Yes","Yes","Yes","Yes",4.850000,18.250000,35.050000,34.750000,31.650000,75.450000,338.550000,731.050000,635.000000,570.650000,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
10044,"Male",1967-11-09,5,"Married",6,41,21,203,2,20,"No","Yes","Yes","e-mail","Total service",39,"Yes","Yes","Yes","Yes",12.100000,20.500000,54.300000,9.750000,35.350000,492.800000,910.250000,2059.700000,330.000000,1301.100000,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
10045,"Female",1993-10-13,3,"Married",2,20,1,376,3,1,"No","No","No","e-mail","E-service",24,"No","Yes","No","No",8.150000,0.000000,27.950000,0.000000,0.000000,209.350000,0.000000,615.800000,0.000000,0.000000,"Yes","No","No","Yes","Yes","No","Yes","No","No","",""
10046,"Male",1971-03-25,4,"Unmarried",1,123,5,242,2,11,"No","Yes","Yes","e-mail","Basic service",4,"No","Yes","Yes","No",2.500000,0.000000,25.300000,13.750000,0.000000,9.250000,0.000000,99.500000,40.000000,0.000000,"No","No","No","Yes","No","No","Yes","No","Yes","",""
10047,"Male",1983-11-02,1,"Unmarried",1,34,0,210,2,12,"No","","Yes","e-mail","Basic service",15,"No","No","No","No",3.950000,0.000000,0.000000,0.000000,0.000000,47.950000,0.000000,0.000000,0.000000,0.000000,"No","No","No","No","No","No","No","No","No","",""
10048,"Male",1965-10-19,4,"Unmarried",1,112,21,126,1,16,"No","Yes","Yes","e-mail","E-service",59,"No","Yes","No","Yes",21.100000,0.000000,38.550000,0.000000,25.300000,1236.300000,0.000000,2190.100000,0.000000,1465.350000,"Yes","No","No","Yes","No","No","No","No","Yes","",""
